FID,ENTRY,STRATEGY
1,OUTFIELD PASTURE,PASTURE
2,USE OF UNOCCUPIED FARM,PASTURE
3,PASTURE,PASTURE
4,DRIFTWOOD,MARINE
5,WOODLAND,MATERIAL
6,TROUT,MARINE
7,PEAT,MATERIAL
8,BEACHED WHALE,MARINE
9,TWIGS,MATERIAL
10,TURF,MATERIAL
11,HAY,PASTURE
12,SHIP PLACE,MARINE
13,SHIELING PLACE,PASTURE
14,DULSE,MARINE
15,EGG,OTHER
16,SONE,MATERIAL
17,TOLL,OTHER
18,BIRD HUNT,OTHER
19,LAMB REARING,OTHER
20,SEAL,MARINE
